Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Toms Tourney,2023-05-05,Belgian Women @ Toms Tourney,Czech Women @ Toms Tourney,14,10,398.70186369942724,1.0,0,160.29999999999998,4,1,0,1.32,4,1,0,1.3337185291310725
Toms Tourney,2023-05-05,Belgian Women @ Toms Tourney,German masters @ Toms Tourney,15,3,600.0,1.0,0,707.6299999999999,12,1,0,10.77,12,1,0,10.606424812201144
Toms Tourney,2023-05-05,Belgian Women @ Toms Tourney,LMU @ Toms Tourney,14,8,536.0348119187572,1.0,0,137.39999999999998,6,1,0,1.52,6,1,0,1.8121064835189706
Toms Tourney,2023-05-05,Bordeaux Ultimate @ Toms Tourney,Family Ultimate @ Toms Tourney,14,11,313.3379659704299,1.0,0,313.34,3,1,0,3.0,3,1,0,2.999531218569235
Toms Tourney,2023-05-05,Czech Women @ Toms Tourney,Crazy Dogs,15,1,600.0,1.0,0,747.34,14,1,0,13.23,14,1,0,13.189420860339744
Toms Tourney,2023-05-05,Czech Women @ Toms Tourney,DESKEAGH @ Toms Tourney,15,4,600.0,1.0,0,112.91,11,1,0,3.12,11,1,0,3.3419937809846267
Toms Tourney,2023-05-05,Czech Women @ Toms Tourney,Germany U24 @ Toms Tourney,11,10,125.0,1.0,0,64.53,1,1,0,1.8299999999999998,1,1,0,1.7647888819095954
Toms Tourney,2023-05-05,DESKEAGH @ Toms Tourney,Austria Women @ Toms Tourney,14,10,398.70186369942724,1.0,0,128.91000000000003,4,1,0,1.2999999999999998,4,1,0,1.454168591038794
Toms Tourney,2023-05-05,DESKEAGH @ Toms Tourney,NL Women @ Toms Tourney,12,10,238.1225775586291,1.0,0,-103.03999999999999,2,1,0,-1.57,2,1,0,-1.5440119092503242
Toms Tourney,2023-05-05,DESKEAGH @ Toms Tourney,Panthers Wroclaw - Women,11,10,125.0,1.0,0,-9.949999999999989,1,1,0,-0.3699999999999999,1,1,0,-0.4131454791381497
Toms Tourney,2023-05-05,France Women @ Toms Tourney,Austria Women @ Toms Tourney,13,10,328.14240231865136,1.0,0,420.62,3,1,0,5.52,3,1,0,5.726806219072916
Toms Tourney,2023-05-05,France Women @ Toms Tourney,Belgian Women @ Toms Tourney,13,9,418.5661446562001,1.0,0,18.5,4,1,0,-0.21999999999999975,4,1,0,-0.16274361385509195
Toms Tourney,2023-05-05,France Women @ Toms Tourney,Czech Women @ Toms Tourney,12,8,441.15462425988915,1.0,0,178.79999999999998,4,1,0,1.1000000000000003,4,1,0,1.172105628245557
Toms Tourney,2023-05-05,France Women @ Toms Tourney,German masters @ Toms Tourney,15,4,600.0,1.0,0,726.1299999999999,11,1,0,10.55,11,1,0,10.524421185375989
Toms Tourney,2023-05-05,France Women @ Toms Tourney,Shout,12,11,125.0,1.0,0,-281.67,1,1,0,-2.59,1,1,0,-3.071459639475
Toms Tourney,2023-05-05,GB U24 Women @ Toms Tourney,Crazy Dogs,15,4,600.0,1.0,0,379.34000000000003,11,1,0,7.55,11,1,0,10.955060477000881
Toms Tourney,2023-05-05,GB U24 Women @ Toms Tourney,Spain Women @ Toms Tourney,11,7,466.8933257329327,0.9733285267845752,0,129.29999999999995,4,1,0,0.8600000000000003,4,1,0,0.8914482649618822
Toms Tourney,2023-05-05,GB U24 Women @ Toms Tourney,Spain Women @ Toms Tourney,11,7,466.8933257329327,0.9733285267845752,0,129.29999999999995,4,1,0,0.8600000000000003,4,1,0,0.8914482649618822
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,Austria Women @ Toms Tourney,13,7,557.5316737222639,1.0,0,607.11,6,1,0,6.93,6,1,0,6.964745393333281
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,Belgian Women @ Toms Tourney,12,9,345.3654772346762,1.0,0,204.99,3,1,0,1.1900000000000004,3,1,0,1.3433908872050964
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,DESKEAGH @ Toms Tourney,11,8,365.60925011032475,1.0,0,478.2,3,1,0,5.630000000000001,3,1,0,5.770315742598054
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,DESKEAGH @ Toms Tourney,11,8,365.60925011032475,1.0,0,478.2,3,1,0,5.630000000000001,3,1,0,5.770315742598054
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,France Women @ Toms Tourney,12,8,441.15462425988915,1.0,0,186.49,4,1,0,1.4100000000000001,4,1,0,1.5046724390199735
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,NL Women @ Toms Tourney,13,11,228.8403622143806,1.0,0,375.15999999999997,2,1,0,4.0600000000000005,2,1,0,4.400554776194998
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,Panthers Wroclaw - Women,15,5,600.0,1.0,0,468.25,10,1,0,5.260000000000001,10,1,0,5.414539836498054
Toms Tourney,2023-05-05,GB Women @ Toms Tourney,Shout,15,12,300.4922431832018,1.0,0,-95.18,3,1,0,-1.1799999999999997,3,1,0,-1.5996441810577657
Toms Tourney,2023-05-05,German masters @ Toms Tourney,Crazy Dogs,15,3,600.0,1.0,0,200.0100000000001,12,1,0,3.7800000000000002,12,1,0,7.844886332057719
Toms Tourney,2023-05-05,Germany U24 @ Toms Tourney,Crazy Dogs,15,6,600.0,1.0,0,682.8100000000001,9,1,0,11.4,9,1,0,12.742901778063509
Toms Tourney,2023-05-05,Germany U24 @ Toms Tourney,Crazy Dogs,15,6,600.0,1.0,0,682.8100000000001,9,1,0,11.4,9,1,0,12.742901778063509
Toms Tourney,2023-05-05,Germany U24 @ Toms Tourney,GB U24 Women @ Toms Tourney,15,6,600.0,1.0,0,303.47,9,1,0,3.85,9,1,0,4.710313880204964
Toms Tourney,2023-05-05,Germany U24 @ Toms Tourney,German masters @ Toms Tourney,15,7,600.0,1.0,0,482.79999999999995,8,1,0,7.619999999999999,8,1,0,8.814073809748422
Toms Tourney,2023-05-05,Helgtre @ Toms Tourney,AUC @ Toms Tourney,15,13,214.17926913507503,1.0,0,214.18,2,1,0,2.0,2,1,0,1.9995286300752646
Toms Tourney,2023-05-05,JinX,Austria Women @ Toms Tourney,14,6,600.0,1.0,0,343.90000000000003,8,1,0,3.8,8,1,0,4.164279684726392
Toms Tourney,2023-05-05,JinX,Austria Women @ Toms Tourney,14,6,600.0,1.0,0,343.90000000000003,8,1,0,3.8,8,1,0,4.164279684726392
Toms Tourney,2023-05-05,JinX,Czech Women @ Toms Tourney,10,9,125.0,1.0,0,102.08000000000001,1,1,0,-0.6199999999999999,1,1,0,-0.5809592468979563
Toms Tourney,2023-05-05,JinX,DESKEAGH @ Toms Tourney,15,8,564.8086448756737,1.0,0,214.99,7,1,0,2.5,7,1,0,2.785067340510331
Toms Tourney,2023-05-05,JinX,France Women @ Toms Tourney,12,11,125.0,1.0,0,-76.71999999999998,1,1,0,-1.7200000000000002,1,1,0,-1.747775364257091
Toms Tourney,2023-05-05,JinX,GB U24 Women @ Toms Tourney,13,10,328.14240231865136,1.0,0,470.08000000000004,3,1,0,5.0600000000000005,3,1,0,5.756251543456578
Toms Tourney,2023-05-05,JinX,GB Women @ Toms Tourney,12,10,238.1225775586291,1.0,0,-263.21,2,1,0,-3.1300000000000003,2,1,0,-3.214871959449848
Toms Tourney,2023-05-05,JinX,Spain Women @ Toms Tourney,15,12,300.4922431832018,1.0,0,599.38,3,1,0,5.92,3,1,0,6.499471406171658
Toms Tourney,2023-05-05,LMU @ Toms Tourney,Crazy Dogs,15,3,600.0,1.0,0,770.24,12,1,0,13.03,12,1,0,13.076524330428533
Toms Tourney,2023-05-05,LMU @ Toms Tourney,France Women @ Toms Tourney,12,10,238.1225775586291,1.0,0,-155.89999999999998,2,1,0,-1.3000000000000003,2,1,0,-1.6515275360379018
Toms Tourney,2023-05-05,LMU @ Toms Tourney,German masters @ Toms Tourney,15,2,600.0,1.0,0,570.2299999999999,13,1,0,9.25,13,1,0,9.615712638372457
Toms Tourney,2023-05-05,LMU @ Toms Tourney,Germany U24 @ Toms Tourney,14,13,125.0,1.0,0,87.42999999999999,1,1,0,1.63,1,1,0,1.2860846170299176
Toms Tourney,2023-05-05,LMU @ Toms Tourney,Panthers Wroclaw - Women,12,10,238.1225775586291,1.0,0,125.86,2,1,0,2.55,2,1,0,2.47905160831041
Toms Tourney,2023-05-05,LMU @ Toms Tourney,Spain Women @ Toms Tourney,15,9,515.4814780292847,1.0,0,520.1999999999999,6,1,0,6.34,6,1,0,6.578442521071022
Toms Tourney,2023-05-05,NL Women @ Toms Tourney,Crazy Dogs,15,4,600.0,1.0,0,737.47,11,1,0,11.68,11,1,0,12.721519046461587
Toms Tourney,2023-05-05,NL Women @ Toms Tourney,GB U24 Women @ Toms Tourney,14,8,536.0348119187572,1.0,0,358.13,6,1,0,4.13,6,1,0,4.641247468015539
