Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Toms Tourney,2023-05-05,Iznogood,Panthers Bern,12,10,238.1225775586291,1.0,0,138.5,2,1,0,1.8100000000000003,2,1,0,1.9213868217540693
Toms Tourney,2023-05-05,Iznogood,Wall City,12,11,125.0,1.0,0,-167.03,1,1,0,-2.17,1,1,0,-2.3607144561360034
Toms Tourney,2023-05-05,JetSet Ultimate Open,Cotarica Grandes,12,11,125.0,1.0,0,39.54999999999998,1,1,0,0.5900000000000003,1,1,0,0.6498429844694851
Toms Tourney,2023-05-05,JetSet Ultimate Open,Denmark open @ Toms Tourney,14,12,220.95664314305532,1.0,0,120.94999999999999,2,1,0,1.6300000000000001,2,1,0,1.7152150956886416
Toms Tourney,2023-05-05,JetSet Ultimate Open,Ka-Pow!,15,8,564.8086448756737,1.0,0,652.5,7,1,0,8.65,7,1,0,8.862545421127436
Toms Tourney,2023-05-05,Mooncatchers,Alba,15,9,515.4814780292847,1.0,0,589.17,6,1,0,7.030000000000001,6,1,0,7.325920464086842
Toms Tourney,2023-05-05,Mooncatchers,BFD La Fotta,14,10,398.70186369942724,1.0,0,124.42999999999995,4,1,0,1.0300000000000011,4,1,0,1.4601119707493524
Toms Tourney,2023-05-05,Mooncatchers,Bora,15,6,600.0,1.0,1,1130.94,9,1,0,13.55,9,1,0,11.651401981162099
Toms Tourney,2023-05-05,Mooncatchers,Frizstyle,15,6,600.0,1.0,1,764.14,9,1,0,9.010000000000002,9,1,0,8.832222552793983
Toms Tourney,2023-05-05,Mooncatchers,GB open @ Toms Tourney,13,12,125.0,1.0,0,112.61000000000001,1,1,0,-0.14999999999999858,1,1,0,-0.376420953664935
