"team_id","team_name","division_id","division_name","country_id","country_ioc","country_name"
NULL,"wuf.",NULL,"Women","1018","BEL","Belgium"
NULL,"FABulous",NULL,"Women","1174","SUI","Switzerland"
NULL,"BFD Shout",NULL,"Women","1093","ITA","Italy"
NULL,"GRUT",NULL,"Women","1135","NED","Netherlands"
NULL,"Solebang",NULL,"Women","1174","SUI","Switzerland"
NULL,"Catchup",NULL,"Women","1012","AUT","Austria"
NULL,"Deep Space",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"BN1",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Colorado",NULL,"Mixed","1073","GER","Germany"
NULL,"Zombees",NULL,"Mixed","1012","AUT","Austria"
NULL,"Nuclear Discs",NULL,"Mixed","1166","SLO","Slovenia"
NULL,"Tiefseetaucher",NULL,"Mixed","1073","GER","Germany"
NULL,"The Owls",NULL,"Mixed","1018","BEL","Belgium"
NULL,"Heroes Flying Disc",NULL,"Mixed","1084","HUN","Hungary"
NULL,"Mosquitos",NULL,"Mixed","1012","AUT","Austria"
NULL,"OUT",NULL,"Mixed","1084","HUN","Hungary"
NULL,"AKS Zły Ultimate",NULL,"Mixed","1151","POL","Poland"
NULL,"Frubb",NULL,"Mixed","1073","GER","Germany"
NULL,"PUC",NULL,"Mixed","1065","FRA","France"
NULL,"Cus Padova Rangərs",NULL,"Mixed","1093","ITA","Italy"
NULL,"W.underteam",NULL,"Mixed","1012","AUT","Austria"
NULL,"One Tribe",NULL,"Open","1093","ITA","Italy"
NULL,"Panthers Bern Ultimate",NULL,"Open","1174","SUI","Switzerland"
NULL,"Bad Skid",NULL,"Open","1073","GER","Germany"
NULL,"Ranelagh",NULL,"Open","1088","IRL","Ireland"
NULL,"Catchup Graz",NULL,"Open","1012","AUT","Austria"
NULL,"DiscoBolo",NULL,"Open","1093","ITA","Italy"
NULL,"Mooncatchers",NULL,"Open","1018","BEL","Belgium"
NULL,"BFD LaFotta",NULL,"Open","1093","ITA","Italy"
NULL,"REDBULLS",NULL,"Open","1093","ITA","Italy"
NULL,"Cotarica Grandes",NULL,"Open","1093","ITA","Italy"
NULL,"Glasgow Ultimate",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Nullacht! Ultimate",NULL,"Mixed","1073","GER","Germany"
NULL,"Wiener Mischung",NULL,"Mixed","1012","AUT","Austria"
NULL,"PELT Ultimate",NULL,"Mixed","1088","IRL","Ireland"
NULL,"Savage Ultimate",NULL,"Mixed","1151","POL","Poland"
NULL,"Sky This Warszawa",NULL,"Mixed","1151","POL","Poland"
NULL,"Malmö Ultimate Club",NULL,"Mixed","1177","SWE","Sweden"
NULL,"DTU",NULL,"Mixed","1052","DEN","Denmark"
NULL,"SYC",NULL,"Women","1069","GBR","Great Britain"
NULL,"Iceni",NULL,"Women","1069","GBR","Great Britain"
NULL,"Dublin Gravity",NULL,"Women","1088","IRL","Ireland"
NULL,"Spice",NULL,"Women","1069","GBR","Great Britain"
NULL,"SMOG",NULL,"Women","1069","GBR","Great Britain"
NULL,"Seagulls",NULL,"Women","1073","GER","Germany"
NULL,"Mooncup",NULL,"Women","1018","BEL","Belgium"
NULL,"Horizon",NULL,"Women","1069","GBR","Great Britain"
NULL,"LMU",NULL,"Women","1069","GBR","Great Britain"
NULL,"Bristol",NULL,"Women","1069","GBR","Great Britain"
NULL,"Team 1",NULL,"Swissdraw test","1138","NIG","Niger"
NULL,"Team 2",NULL,"Swissdraw test","1053","DJI","Djibouti"
NULL,"Team 3",NULL,"Swissdraw test","1140","NRU","Nauru"
NULL,"Team 4",NULL,"Swissdraw test","1071","GEO","Georgia"
NULL,"Team 5",NULL,"Swissdraw test","1126","MLT","Malta"
NULL,"Team 6",NULL,"Swissdraw test","1069","GBR","Great Britain"
NULL,"Team 7",NULL,"Swissdraw test","1100","KGZ","Kyrgyzstan"
NULL,"Team 8",NULL,"Swissdraw test","1032","CAF","Central African Republic"
NULL,"Team 9",NULL,"Swissdraw test","1004","AND","Andorra"
NULL,"Team 10",NULL,"Swissdraw test","1084","HUN","Hungary"
NULL,"Team 1",NULL,"Grenoble test","1164","SKN","Saint Kitts and Nevis"
NULL,"Team 2",NULL,"Grenoble test","1181","TGA","Tonga"
NULL,"Team 3",NULL,"Grenoble test","1180","TAN","Tanzania"
NULL,"Team 4",NULL,"Grenoble test","1137","NGR","Nigeria"
NULL,"Team 5",NULL,"Grenoble test","1151","POL","Poland"
NULL,"Team 6",NULL,"Grenoble test","1076","GRN","Grenada"
NULL,"Team 7",NULL,"Grenoble test","1180","TAN","Tanzania"
NULL,"Team 8",NULL,"Grenoble test","1062","ETH","Ethiopia"
NULL,"Team 9",NULL,"Grenoble test","1129","MOZ","Mozambique"
NULL,"Team 10",NULL,"Grenoble test","1163","SGP","Singapore"
NULL,"SYC",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"Iceni",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"Dublin Gravity",NULL,"London Testing","1088","IRL","Ireland"
NULL,"Spice",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"SMOG",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"Seagulls",NULL,"London Testing","1073","GER","Germany"
NULL,"Mooncup",NULL,"London Testing","1018","BEL","Belgium"
NULL,"Horizon",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"LMU",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"Bristol",NULL,"London Testing","1069","GBR","Great Britain"
NULL,"KFUM Örebro Frisbee",NULL,"Brno Testing","1177","SWE","Sweden"
NULL,"KFK",NULL,"Brno Testing","1052","DEN","Denmark"
NULL,"Terrible Monkeys",NULL,"Brno Testing","1051","CZE","Czech Republic"
NULL,"FWD>>",NULL,"Brno Testing","1012","AUT","Austria"
NULL,"Uprising Ultimate",NULL,"Brno Testing","1151","POL","Poland"
NULL,"Panthers Wrocław",NULL,"Brno Testing","1151","POL","Poland"
NULL,"Outsiterz",NULL,"Brno Testing","1176","SVK","Slovakia"
NULL,"3SB",NULL,"Brno Testing","1051","CZE","Czech Republic"
NULL,"Atrofované Ruce",NULL,"Brno Testing","1051","CZE","Czech Republic"
NULL,"thebigEZ",NULL,"Brno Testing","1012","AUT","Austria"
NULL,"Deep Space",NULL,"Padova Testing","1069","GBR","Great Britain"
NULL,"BN1",NULL,"Padova Testing","1069","GBR","Great Britain"
NULL,"Colorado",NULL,"Padova Testing","1073","GER","Germany"
NULL,"Zombees",NULL,"Padova Testing","1012","AUT","Austria"
NULL,"Nuclear Discs",NULL,"Padova Testing","1166","SLO","Slovenia"
NULL,"Tiefseetaucher",NULL,"Padova Testing","1073","GER","Germany"
NULL,"The Owls",NULL,"Padova Testing","1018","BEL","Belgium"
NULL,"Heroes Flying Disc",NULL,"Padova Testing","1084","HUN","Hungary"
NULL,"Mosquitos",NULL,"Padova Testing","1012","AUT","Austria"
NULL,"OUT",NULL,"Padova Testing","1084","HUN","Hungary"
NULL,"AKS Zły Ultimate",NULL,"Padova Testing","1151","POL","Poland"
NULL,"Frubb",NULL,"Padova Testing","1073","GER","Germany"
NULL,"PUC",NULL,"Padova Testing","1065","FRA","France"
NULL,"Cus Padova Rangərs",NULL,"Padova Testing","1093","ITA","Italy"
NULL,"W.underteam",NULL,"Padova Testing","1012","AUT","Austria"
NULL,"Glasgow Ultimate",NULL,"Malmö Testing","1069","GBR","Great Britain"
NULL,"Nullacht! Ultimate",NULL,"Malmö Testing","1073","GER","Germany"
NULL,"Wiener Mischung",NULL,"Malmö Testing","1012","AUT","Austria"
NULL,"PELT",NULL,"Malmö Testing","1088","IRL","Ireland"
NULL,"Savage Ultimate",NULL,"Malmö Testing","1151","POL","Poland"
NULL,"Sky This Warszawa",NULL,"Malmö Testing","1151","POL","Poland"
NULL,"Malmö Ultimate Club",NULL,"Malmö Testing","1177","SWE","Sweden"
NULL,"DTU",NULL,"Malmö Testing","1052","DEN","Denmark"
NULL,"Dublin Gravity",NULL,"Women","1088","IRL","Ireland"
NULL,"Spice",NULL,"Women","1069","GBR","Great Britain"
NULL,"SMOG",NULL,"Women","1069","GBR","Great Britain"
NULL,"Seagulls",NULL,"Women","1073","GER","Germany"
NULL,"Atletico",NULL,"Women","1064","FIN","Finland"
NULL,"Aarhus Ultimate",NULL,"Women","1052","DEN","Denmark"
NULL,"Malmö Ultimate Club",NULL,"Women","1177","SWE","Sweden"
NULL,"Copenhagen Hucks",NULL,"Women","1052","DEN","Denmark"
NULL,"KFUM Örebro Frisbee",NULL,"Open","1177","SWE","Sweden"
NULL,"KFK",NULL,"Open","1052","DEN","Denmark"
NULL,"Freezzz Beezzz",NULL,"Open","1018","BEL","Belgium"
NULL,"Aarhus",NULL,"Open","1052","DEN","Denmark"
NULL,"Ranelagh",NULL,"Open","1088","IRL","Ireland"
NULL,"OTSO",NULL,"Open","1064","FIN","Finland"
NULL,"PirU",NULL,"Open","1064","FIN","Finland"
NULL,"Hardfisch",NULL,"Open","1073","GER","Germany"
NULL,"Malmö Ultimate Club",NULL,"Open","1177","SWE","Sweden"
NULL,"Deep Space",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Reading Ultimate",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Leamington Lemmings",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Nullacht! Ultimate",NULL,"Mixed","1073","GER","Germany"
NULL,"Sesquidistus",NULL,"Mixed","1065","FRA","France"
NULL,"Disconnection",NULL,"Mixed","1073","GER","Germany"
NULL,"Tartu Turbulence",NULL,"Mixed","1061","EST","Estonia"
NULL,"Manchots",NULL,"Mixed","1065","FRA","France"
NULL,"Jetset LUV",NULL,"Women","1018","BEL","Belgium"
NULL,"Iceni",NULL,"Women","1069","GBR","Great Britain"
NULL,"East Block",NULL,"Women","1051","CZE","Czech Republic"
NULL,"box vienna ultimate",NULL,"Women","1012","AUT","Austria"
